cod_municipio,nome_municipio,M2019,M2021,I_imp,M2024,I_rec,I_EAD,pct_internet_2019,pct_banda_2019,pct_urbana_2019,ICT_2019,pct_banda_2024,pct_urbana_2024,pct_estadual_2024,ICT_2024,I_ERE,cod_regiao_interm,nome_regiao_interm
3100104,Abadia dos Dourados,1057,1029,-2.6490066225165565,969,-214.28571428571428,0.0,0.25,0.375,0.625,0.2916666666666667,0.33333334,0.5,0.16666666666666666,0.2777777810891469,147.6,3111,Uberlândia
3100203,Abaeté,4381,3923,-10.454234193106597,4018,20.74235807860262,3.5177160336477185,0.6086956521739131,0.8260869565217391,0.7391304347826086,0.7101449275362319,1.0,0.8421052631578947,0.15789473684210525,0.8421052631578947,128.83333333,3113,Divinópolis
3100302,Abre Campo,2515,2493,-0.8747514910536779,2415,-354.54545454545456,0.0,0.17647058823529413,0.8823529411764706,0.47058823529411764,0.43137254901960786,0.8888889,0.5,0.2222222222222222,0.7592592614668386,128.91666667,3106,Juíz de Fora
3100401,Acaiaca,968,961,-0.7231404958677686,860,-1442.857142857143,0.0,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.6666666666666666,0.8333333,0.6666666666666666,0.3333333333333333,0.9444444378217062,233.0,3106,Juíz de Fora
3100500,Açucena,1666,1609,-3.4213685474189672,1435,-305.2631578947369,0.0,0.5,0.875,0.4375,0.7083333333333334,1.0,0.4666666666666667,0.3333333333333333,0.9333333333333332,110.92307692,3105,Ipatinga
3100609,Água Boa,3348,3315,-0.985663082437276,2983,-1006.060606060606,0.0,0.35,0.75,0.35,0.5833333333333334,0.52380955,0.3333333333333333,0.3333333333333333,0.46031746977851506,209.05555556,3103,Teófilo Otoni
3100708,Água Comprida,404,394,-2.4752475247524752,398,40.0,0.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.8333333333333334,,3110,Uberaba
3100807,Aguanil,925,836,-9.621621621621621,940,116.85393258426966,0.0,0.16666666666666666,0.6666666666666666,0.5,0.4444444444444444,0.6666667,0.5,0.16666666666666666,0.5000000066227382,65.5,3108,Varginha
3100906,Águas Formosas,4445,4039,-9.133858267716535,4025,-3.4482758620689653,0.0,0.17391304347826086,0.43478260869565216,0.5652173913043478,0.31884057971014496,0.47619048,0.6190476190476191,0.2857142857142857,0.4444444449174972,269.0,3103,Teófilo Otoni
3101003,Águas Vermelhas,2800,2828,1.0,3118,100.0,0.0,0.29411764705882354,0.35294117647058826,0.5294117647058824,0.35294117647058826,0.7222222,0.6111111111111112,0.2222222222222222,0.5555555511403967,214.44444444,3103,Teófilo Otoni
3101102,Aimorés,4829,4578,-5.197763512114309,4755,70.5179282868526,0.0,0.21428571428571427,0.6071428571428571,0.7857142857142857,0.4523809523809524,0.96428573,0.8214285714285714,0.32142857142857145,0.7857142913909185,153.55555556,3104,Governador Valadares
3101201,Aiuruoca,939,909,-3.1948881789137378,884,-83.33333333333334,0.0,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7777777777777778,0.6666667,0.6666666666666666,0.16666666666666666,0.7222222288449606,227.0,3109,Pouso Alegre
3101300,Alagoa,432,426,-1.3888888888888888,458,533.3333333333333,0.0,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555555,0.6666667,1.0,0.3333333333333333,0.8888888955116272,168.0,3109,Pouso Alegre
3101409,Albertina,597,615,3.015075376884422,638,100.0,0.0,1.0,0.5,1.0,0.5833333333333334,0.5,1.0,0.25,0.75,156.0,3109,Pouso Alegre
3101508,Além Paraíba,7077,6646,-6.090151194008761,7192,126.68213457076567,0.0,0.5151515151515151,0.8181818181818182,0.9696969696969697,0.6868686868686869,0.93333334,0.9666666666666667,0.16666666666666666,0.8222222235467699,82.157894737,3106,Juíz de Fora
3101607,Alfenas,16347,14946,-8.570379886217655,16180,88.07994289793005,0.0,0.40350877192982454,0.9649122807017544,0.9122807017543859,0.6491228070175439,1.0,0.9152542372881356,0.1864406779661017,0.824858757062147,99.875,3108,Varginha
3101631,Alfredo Vasconcelos,1243,1183,-4.827031375703942,1229,76.66666666666667,0.0,1.0,1.0,0.42857142857142855,1.0,1.0,0.42857142857142855,0.14285714285714285,0.9523809523809524,155.0,3107,Barbacena
3101706,Almenara,9645,8739,-9.393468118195957,9598,94.81236203090508,2.2885913720105275,0.3409090909090909,0.5909090909090909,0.5227272727272727,0.43939393939393945,0.925,0.6,0.175,0.6666666706403097,140.68,3103,Teófilo Otoni
3101805,Alpercata,1451,1321,-8.959338387319091,1328,5.384615384615385,0.0,0.2,0.9,0.7,0.46666666666666673,0.9,0.7,0.1,0.6999999920527141,120.5,3104,Governador Valadares
3101904,Alpinópolis,3709,3603,-2.8579131841466703,3907,286.79245283018867,9.93616430752151,0.42857142857142855,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.85714287,0.8571428571428571,0.21428571428571427,0.8333333361716498,97.0,3108,Varginha
3102001,Alterosa,2645,2640,-0.1890359168241966,2471,-3379.9999999999995,0.0,0.6666666666666666,0.7777777777777778,1.0,0.7407407407407408,0.8888889,1.0,0.2222222222222222,0.9259259281335054,74.4,3108,Varginha
3102050,Alto Caparaó,1176,1249,6.207482993197279,1297,100.0,0.0,0.25,0.75,1.0,0.5,1.0,1.0,0.25,1.0,302.0,3106,Juíz de Fora
3102100,Alto Rio Doce,1952,1941,-0.5635245901639344,1830,-1009.0909090909091,0.0,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.42424242424242425,0.875,0.75,0.375,0.6666666666666666,24.125,3107,Barbacena
3102209,Alvarenga,926,892,-3.6717062634989204,878,-41.17647058823529,0.0,0.9090909090909091,0.8181818181818182,0.2727272727272727,0.8181818181818182,1.0,0.42857142857142855,0.14285714285714285,0.7142857142857143,120.0,3105,Ipatinga
3102308,Alvinópolis,2713,2671,-1.5481017323995576,2585,-204.76190476190476,0.0,0.45454545454545453,0.9090909090909091,0.8181818181818182,0.6666666666666666,0.8181818,0.8181818181818182,0.36363636363636365,0.7878787860725865,146.33333333,3106,Juíz de Fora
3102407,Alvorada de Minas,1123,1061,-5.520926090828139,1051,-16.129032258064516,0.0,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.42857142857142855,1.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,75.166666667,3103,Teófilo Otoni
3102506,Amparo do Serra,840,806,-4.0476190476190474,747,-173.52941176470588,0.0,0.25,1.0,0.5,0.5,0.6,0.6,0.2,0.600000007947286,292.0,3106,Juíz de Fora
3102605,Andradas,7336,6853,-6.583969465648855,6957,21.532091097308488,0.0,0.5161290322580645,0.9354838709677419,0.7741935483870968,0.6881720430107526,1.0,0.7741935483870968,0.16129032258064516,0.881720430107527,89.666666667,3109,Pouso Alegre
3102704,Cachoeira de Pajeú,1885,1600,-15.119363395225463,1441,-55.78947368421052,0.0,0.09090909090909091,0.8181818181818182,0.36363636363636365,0.393939393939394,1.0,0.36363636363636365,0.2727272727272727,0.6666666666666666,284.0,3103,Teófilo Otoni
3102803,Andrelândia,2022,1932,-4.451038575667656,1943,12.222222222222221,0.0,0.625,0.75,1.0,0.7083333333333334,0.875,1.0,0.125,0.75,95.25,3106,Juíz de Fora
