limiar_M2019,n_municipios,municipios_excluidos,media_I_rec,desvio_padrao_I_rec,min_I_rec,max_I_rec,mediana_I_rec
0,853,0,-30.37096287137405,756.6864392977052,-11133.333333333332,8300.0,50.0
200,852,1,-29.937125973335757,757.0247401337142,-11133.333333333332,8300.0,50.54347826086956
500,808,45,-30.581668158103053,770.4803558866163,-11133.333333333332,8300.0,46.81660008316316
1000,623,230,-11.382705899953418,760.489032554331,-11133.333333333332,8300.0,47.82608695652174
2000,357,496,-12.764693230930638,776.0108736276658,-11133.333333333332,5825.0,54.285714285714285
