limiar_denominador_abs,n_municipios,municipios_excluidos,media_I_rec,desvio_padrao_I_rec,min_I_rec,max_I_rec,mediana_I_rec
0,853,0,-30.37096287137405,756.6864392977052,-11133.333333333332,8300.0,50.0
20,688,165,7.846757285208855,227.79519448776037,-1084.6153846153848,1801.1494252873565,38.479214184859345
50,526,327,27.251767741554314,178.79306939216386,-937.2549019607843,1801.1494252873565,33.49483455025633
100,333,520,39.587560519770015,129.8104370981848,-358.041958041958,605.1813471502591,37.19931271477663
200,188,665,61.661832072428474,112.20993157526178,-249.009900990099,605.1813471502591,55.50135345274434
